id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
146,2022-05-20 05:50:25.206845+00,146,,637,38,1,,2022-05-23 07:26:33+00,2022-05-18 07:26:31+00,12,664,2022-05-23 07:26:33+00,2022-05-18 07:26:31+00,,,,,,,,,,,,,,,,,,,,,,,,,
147,2022-05-22 05:57:34.100661+00,146,,637,38,1,,2022-05-21 05:50:33+00,2022-05-20 05:50:32+00,12,664,2022-05-21 05:50:33+00,2022-05-20 05:50:32+00,,,,,,,,,,,,,,,,,,,,,,,,,
150,2022-05-25 01:08:06.709685+00,353,,673,38,1,,2022-05-28 01:08:03+00,2022-05-25 01:08:01+00,1,679,2022-05-28 01:08:03+00,2022-05-25 01:08:01+00,,,,,,,,,,,,,,,,,,,,,,,,,
148,2022-05-25 06:56:48.194162+00,146,,637,38,1,,2022-05-23 05:57:48+00,2022-05-22 05:57:45+00,12,664,2022-05-23 05:57:48+00,2022-05-22 05:57:45+00,,,,,,,,,,,,,,,,,,,,,,,,,
151,2022-05-26 06:01:08.391852+00,146,,637,38,1,,2022-05-26 06:56:56+00,2022-05-25 06:56:55+00,12,664,2022-05-26 06:56:56+00,2022-05-25 06:56:55+00,,,,,,,,,,,,,,,,,,,,,,,,,
152,2022-05-27 05:51:39.591225+00,146,,637,38,1,,2022-05-27 06:01:17+00,2022-05-26 06:01:16+00,12,664,2022-05-27 06:01:17+00,2022-05-26 06:01:16+00,,,,,,,,,,,,,,,,,,,,,,,,,
153,2022-05-28 07:38:34.350506+00,146,,637,38,1,,2022-05-28 05:51:50+00,2022-05-27 05:51:48+00,12,664,2022-05-28 05:51:50+00,2022-05-27 05:51:48+00,,,,,,,,,,,,,,,,,,,,,,,,,
154,2022-05-29 07:08:31.98653+00,146,,637,38,1,,2022-05-30 07:38:44+00,2022-05-28 07:38:41+00,12,664,2022-05-30 07:38:44+00,2022-05-28 07:38:41+00,,,,,,,,,,,,,,,,,,,,,,,,,
155,2022-05-30 07:03:56.171831+00,146,,637,38,1,,2022-05-31 07:08:40+00,2022-05-29 07:08:38+00,12,664,2022-05-31 07:08:40+00,2022-05-29 07:08:38+00,,,,,,,,,,,,,,,,,,,,,,,,,
156,2022-05-31 06:55:28.552996+00,146,,637,38,1,,2022-05-31 07:04:06+00,2022-05-30 07:04:04+00,12,664,2022-05-31 07:04:06+00,2022-05-30 07:04:04+00,,,,,,,,,,,,,,,,,,,,,,,,,
157,2022-06-01 07:51:13.775661+00,146,,637,38,1,,2022-06-02 06:55:40+00,2022-05-31 06:55:38+00,12,664,2022-06-02 06:55:40+00,2022-05-31 06:55:38+00,,,,,,,,,,,,,,,,,,,,,,,,,
158,2022-06-02 07:08:20.693335+00,146,,637,38,1,,2022-06-02 07:51:36+00,2022-06-01 07:51:35+00,12,664,2022-06-02 07:51:36+00,2022-06-01 07:51:35+00,,,,,,,,,,,,,,,,,,,,,,,,,
